name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info,full_address
Medstar Harbor Hospital,Behavioral Health,3001 South Hanover Street,Suite 164,Brooklyn,MD,21225,410-350-7550,,,,,MH * OP PHDT * PSY * ARIPI CLOZA OLANZ OLANZF QUETI RISPE ANTPYCH * GT IPT * PVTN * MC MD * PA * TAY SE GL VET MF CO HV ALZ PEFP SMI * PEER * SMON * YAD ADLT SNR * AH * VAPN * SPS,"3001 South Hanover Street, Brooklyn, NY 21225"
Astor Servs for Children and Families,Astor Day Treatment Program,516 East Tremont Avenue,,Bronx,NY,10457,347-978-2450,929-285-3917 x1096,,,,MH SUMH * PHDT * PH * CHLOR HALOP PERPH ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON * PVTN * MD PI SEF * TRMA SED * STU * TCC * SMON * CHLD * SP * VAPN * FPSY CM SPS ES,"516 East Tremont Avenue, Bronx, NY 10457"
Astor Servs for Children and Families,Highbridge Clinic,1419 Shakespeare Avenue,1st Floor,Bronx,NY,10452,718-231-3400,718-732-7080 x0,,,,SA MH SUMH * OP * OMH * NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * CLF MD OSF PI SF SI SMHA SWFS * CO TRMA PED PTSD SED * STU * TCC * SMON * CHLD YAD ADLT * SP * VAPN * COOT FPSY CM SPS,"1419 Shakespeare Avenue, Bronx, NY 10452"
Astor Servs for Children and Families,Lawrence F Hickey Center,4010 Dyre Avenue,,Bronx,NY,10466,845-515-3000,718-515-3000,,,,MH * PHDT * PH * ANTPYCH * CBT CFT GT IPT TELE * CIT PEON * PVTN * MD SEF * TRMA SED * SMON * CHLD * VAPN * FPSY CM SPS ES,"4010 Dyre Avenue, Bronx, NY 10466"
Astor Servs for Children and Families,Tilden Clinic,750 Tilden Street,,Bronx,NY,10467,718-231-3400,,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTN * CLF MD OSF PI SF SI SMHA SWFS * CO TRMA PTSD SED * STU * TCC * SMON * CHLD YAD ADLT * SP * VAPN * COOT FPSY CM SPS,"750 Tilden Street, Bronx, NY 10467"
BASICS Esperanza PROS,,915 Westchester Avenue,1st Floor,Bronx,NY,10459,646-224-9300 x6302,646-224-9300 x6311,,,,SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI CLOZA OLANZ OLANZF PALIP QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * MC MD SI * SS * SE GL VET CO TRMA PED PTSD SMI * STU * HS PEER * TCC * SMON * YAD ADLT SNR * SP * VAPN * COOT DEC FPSY IMR PRS SEMP SH VRS CM SPS ES,"915 Westchester Avenue, Bronx, NY 10459"
Bronx Care Health System,Inpatient Psychiatric Unit,1265 Franklin Avenue,,Bronx,NY,10456,718-901-8872,,,,,SA MH SUMH * HI * IPSY * CHLOR DROPE FLUPH HALOP PERPH THIOT TRIFL CLOZA OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA SWFS * PA SS * TAY SE SED SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F17 F19 F25 F28 F31 F35 F36 F70 F81 F92 * VAPN * COOT FPSY LAD SPS,"1265 Franklin Avenue, Bronx, NY 10456"
BronxCare Health System,Childrens Services,1276 Fulton Avenue,,Bronx,NY,10457,718-901-6888,718-579-7385,718-579-7395,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP CLOZA OLANZ OLANZF NRT ANTPYCH * AT CBT CFT GT IPT TELE * PEON * PVTN * FQHC * MD PI SF SI SWFS * PA SS * GL CO HV TRMA PTSD SED * STU * SMON * CHLD * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * FPSY SPS,"1276 Fulton Avenue, Bronx, NY 10457"
Bronx Care Hospital,Outpatient 2,1265 Franklin Avenue,,Bronx,NY,10456,718-579-7361,718-579-7385,718-579-7395,,,SA MH SUMH * OP * OMH * FLUPH HALOP CLOZA OLANZ OLANZF RISPE NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * FQHC * MC MD PI SF SI * PA SS * SE GL CO TRMA PTSD SMI * STU * TCC * SMON * YAD ADLT SNR * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * AOT FPSY SPS,"1265 Franklin Avenue, Bronx, NY 10456"
Bronx/Lebanon Hospital Center,Adult Outpatient Clinic,1276 Fulton Avenue,,Bronx,NY,10456,718-901-8440,718-579-7395,718-579-7385,,,SA MH SUMH * OP * OMH * FLUPH HALOP CLOZA OLANZ OLANZF RISPE NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * FQHC * MC MD PI SF SI * PA SS * SE GL CO TRMA SMI * STU * TCC * SMON * YAD ADLT SNR * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * AOT FPSY SPS,"1276 Fulton Avenue, Bronx, NY 10456"
Bronx Psychiatric Center,BPC White Plains Road Clinic/ACT Prog,3050 White Plains Road,,Bronx,NY,10467,929-348-4492,,,,,SA MH SUMH * OP * OMH * CHLOR CLOZA OLANZ RISPE NRT NSC ANTPYCH * AT CBT GT IPT * PEON PEOFF * STG * CLF MC MD PI SI SMHA * PA * GL CJ HV SMI * STU * HS PEER * TCC * SMPD * YAD ADLT SNR * AH SP FX * F17 F36 * VAPN * ACT COOT DEC FPSY PRS SEMP VRS SPS ES,"3050 White Plains Road, Bronx, NY 10467"
Childrens Aid Society,Bronx Health Services,910 East 172Nd Street,3rd Floor,Bronx,NY,10460,347-767-2200,,347-767-2212,,,MH * OP * OMH * CBT IPT TELE * PVTN * MD SF SI SWFS * SS * TAY GL TRMA PTSD SED * STU * SMON * CHLD YAD * AH SP * VAPP * FPSY IPC SPS,"910 East 172Nd Street, Bronx, NY 10460"
Graham Windham,Mental Health and Wellness Center,1946 Webster Avenue,1st Floor,Bronx,NY,10457,212-368-4100,,,,,MH * OP * OMH * CBT CFT GT IPT TELE * PVTN * MD * TAY TRMA PTSD SED * SMOP * CHLD YAD * SP * VAPP * FPSY TPC,"1946 Webster Avenue, Bronx, NY 10457"
Jewish Board,Community Mental Health Center,2488 Grand Concourse,Suite 2000,Bronx,NY,10458,718-881-7600 x51438,844-663-2255,,,,MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IPT TELE * CIT * PVTN * CMHG CSBG MC MD PI SF SI * CO * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * COOT CM SPS,"2488 Grand Concourse, Bronx, NY 10458"
Jewish Child Care Association,,425 Westchester Avenue,,Bronx,NY,10455,718-742-8550,,,,,MH * OP * OMH * ANTPYCH * CBT CFT DBT GT IPT TELE * PEOFF * PVTN * CLF MD OSF PI SF SMHA SWFS * TAY GL TRMA PTSD SED * STU * MST LABT * PEER * SMON * CHLD YAD * AH SP * VAPN * ACT COOT FPSY PRS SEMP TPC VRS CM,"425 Westchester Avenue, Bronx, NY 10455"
Montefiore Medical Center,Psychiatric Inpatient Service,111 East 210Th Street,Klau 2,Bronx,NY,10467,718-920-4736,,,,,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP PERPH ARIPI BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT ECT GT IDD IPT AIM * PEON * PVTN * MC MD PI SF SI * SMI * STU * HIVT STDT TBS MST LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR PRS IPC SPS,"111 East 210Th Street, Bronx, NY 10467"
Morris Heights Health Center,Harrison Circle,57 West Burnside Avenue,Level B-1,Bronx,NY,10453,718-839-8900 x3333,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP THIOR TRIFL CLOZA OLANZ OLANZF QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * CIT WI * PVTN * FQHC * CLF CMHG MC MD OSF PI SF SI * PA SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * CDM FPSY IMR IPC SPS,"57 West Burnside Avenue, Bronx, NY 10453"
Morris Heights Health Center,Walton Avenue,25 East 183Rd Street,,Bronx,NY,10453,718-839-8900 x3333,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP THIOR TRIFL CLOZA OLANZ OLANZF QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * CIT WI * PVTN * FQHC * CLF CMHG MC MD OSF PI SF SI * PA SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * CDM FPSY SPS,"25 East 183Rd Street, Bronx, NY 10453"
Nao Medical,,932 East 174Th Street,,Bronx,NY,10460,917-970-2493,,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * CBT IDD IPT KIT TELE * PEOFF * PVTP * MC MD PI SF SI * TAY SE GL VET ADM MF CO HV DV TRMA ALZ PED PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F36 * VAPN * AOT CDM DEC IMR IPC,"932 East 174Th Street, Bronx, NY 10460"
New York City Childrens Center,Bronx Day Treatment Programs,595 Gerard Avenue,,Bronx,NY,10451,929-348-4560,718-264-4557,718-613-3056,,,SA MH SUMH * OP PHDT * PH * NRT NSC ANTPYCH * CBT CRT CFT DBT GT IDD IPT TELE AIM * STG * MD PI SI SMHA * CO PTSD SED * STU * MST LABT * PEER * TCC * SMON * CHLD YAD * AH SP * VAPN * AOT COOT DEC FPSY PRS VRS CM SPS ES,"595 Gerard Avenue, Bronx, NY 10451"
New York City Childrens Center,Bronx Inpatient,1300 Waters Place,State Psychiatric Center,Bronx,NY,10461,718-264-4500,718-264-4934,,,,SA MH SUMH * HI * PSY * NRT NSC ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT AIM * STG * MD PI SI SMHA * CO TRMA PTSD SED * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * CHLD * AH SP * VAPN * AOT COOT DEC FPSY ICM PRS VRS CM IPC SPS ES,"1300 Waters Place, Bronx, NY 10461"
NYC HHC North Central Bronx Hospital,ACT Program,3424 Kossuth Avenue,,Bronx,NY,10467,718-519-4701,718-519-3100,,,,SA MH * OP * IPSY * HALOP ARIPI CLOZA OLANZ OLANZF PALIP QUETI RISPE ANTPYCH * CBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * LCCG * FQHC * CMHG MC MD PI SI SMHA * PA * TAY SE CO SMI * STU * MST LABT * PEER * TCC * SMON * YAD ADLT SNR * VAPN * ACT AOT DEC FPSY LAD PRS SH VRS CM SPS,"3424 Kossuth Avenue, Bronx, NY 10467"
NYC/HHC North Central Bronx Hospital,Inpatient Psychiatric Unit,3424 Kossuth Avenue,,Bronx,NY,10467,718-519-4864 x3500,718-519-3030,,,,SA MH SUMH * HI OP PHDT * IPSY * CHLOR FLUPH HALOP PERPH THIOR ARIPI CLOZA OLANZ PALIP RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT IDD IPT TELE * CIT PEOFF WI * LCCG * FQHC * CMHG MC MD PI SF SI SMHA * PA * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PTSD SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * ACT CDM COOT DEC FPSY IMR LAD IPC,"3424 Kossuth Avenue, Bronx, NY 10467"
NYC/HHC North Central Bronx Hospital,Partial Hospitalization Program,3424 Kossuth Avenue,11th Floor,Bronx,NY,10467,718-519-2439,718-519-3440,,,,SA MH SUMH * HI OP PHDT * OMH * CHLOR FLUPH HALOP PERPH THIOR ARIPI CLOZA OLANZ PALIP RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT * CIT PEOFF WI * LCCG * FQHC MHC * CSBG SF SI SMHA * PA * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * ACT COOT DEC FPSY PRS CM IPC SPS,"3424 Kossuth Avenue, Bronx, NY 10467"
NY Pychotherapy and Counseling Ctr,Bronx Child and Family MH Center,579 Courtlandt Avenue,,Bronx,NY,10451,718-553-1100,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT IDD IPT TELE * PVTN * MC MD SI * TAY SE GL CO DV TRMA PTSD SED SMI * STU * MST LABT * TCC * SMPD * CHLD YAD ADLT SNR * AH SP FX * F17 F19 F28 F67 * VPPD * AOT COOT FPSY CM SPS,"579 Courtlandt Avenue, Bronx, NY 10451"
Postgraduate Center for MH Inc,PROS,1775 Grand Concourse Street,8th Floor,Bronx,NY,10453,212-560-6700 x402,,,,,SA MH SUMH * OP * OMH * CHLOR DROPE FLUPH HALOP LOXAP PERPH PROCH THIOT ARIPI CLOZA OLANZ OLANZF PALIP QUETI RISPE NSC ANTPYCH * CBT CFT GT IDD IPT TELE * PVTN * MHC * CLF MC MD PI SF SI SMHA * SS * SE CO SMI * STU * LABT * PEER * SMON * YAD ADLT SNR * AH SP * VAPN * AOT COOT FPSY PRS SEMP VRS CM IPC SPS,"1775 Grand Concourse Street, Bronx, NY 10453"
Puerto Rican Family Institute Inc,Bronx Mental Health Clinic,1420 Stebbins Avenue,,Bronx,NY,10459,718-299-3045 x3226,718-299-3045 x3221,718-299-3045 x3227,,,MH * OP * OMH * CBT CFT DBT GT IPT TELE * PVTN * MC MD PI SF SI * SS * TAY SE GL CJ TRMA PTSD * STU * PEER * SMON * CHLD YAD ADLT SNR * SP * VAPN * FPSY SPS,"1420 Stebbins Avenue, Bronx, NY 10459"
Vida Guidance Center A Division of UHP,,4419 3Rd Avenue,,Bronx,NY,10457,718-364-7700 x3,718-364-7700,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT * STG * FQHC * MC MD SF SI SWFS * PA SS * TAY SE GL VET ADM MF CJ CO HV TRMA PTSD SED SMI * STU * LABT * TCC * SMOP * CHLD YAD ADLT SNR * SP * VAPP * FPSY CM SPS,"4419 3Rd Avenue, Bronx, NY 10457"
ACQC Brooklyn Satellite,,475 Atlantic Avenue,3rd Floor,Brooklyn,NY,11217,718-896-2500,718-896-2500 x5735,,,,SA MH SUMH * OP * OMH * FLUPH HALOP PERPH ARIPI BREXP LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT IDD IPT TELE * CIT * PVTN * MC MD PI SF SI SMHA * PA SS * GL HV * STU * HIVT STDT HBT HCT * PEER * TCC * SMOP * CHLD YAD ADLT SNR * AH * VAPP * COOT FPSY CM SPS,"475 Atlantic Avenue, Brooklyn, NY 11217"
Beverley Mack Harry,Consulting Services Inc,738 Crown Street,1st Floor,Brooklyn,NY,11213,718-363-0100,,,,,MH SUMH * OP * OMH * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PEON WI * PVTP * CLF MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * TAY SE GL VET HV DV TRMA TBI PTSD SED SMI * STU * PEER * TCC * SMOP * CHLD YAD ADLT SNR * VAPP * COOT DEC FPSY PRS TPC IPC SPS,"738 Crown Street, Brooklyn, NY 11213"
Brookdale Hospital Medical Center,Department of Psychiatry,1 Brookdale Plaza,12th Floor,Brooklyn,NY,11212,718-240-6330,718-240-6168,,,,SA MH SUMH * HI OP * IPSY * HALOP ARIPI BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF MC MD PI SF SI * PA SS * TAY SE GL CO HV TRMA PEFP PTSD SED SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F17 F19 F25 F28 F36 F47 F70 F81 * VAPN * COOT DEC FPSY IPC SPS,"1 Brookdale Plaza, Brooklyn, NY 11212"
Catholic Charities Neighborhood Servs,Flatbush Behavioral Health Center,1623 Flatbush Avenue,,Brooklyn,NY,11210,718-377-5755,,,,,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CARIP CLOZA OLANZF QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT PEON PEOFF * PVTN * CMHG MC MD PI PCF SF SI SMHA SWFS * VET CO SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT CM SPS,"1623 Flatbush Avenue, Brooklyn, NY 11210"
Coalition for Hispanic Family Services,Bonding Links Enlazos Familiares CCR,63 Schaefer Street,,Brooklyn,NY,11207,718-443-5875,,,,,MH SUMH * RES * RTCC * CBT GT * PVTN * CLF MD OSF * TRMA PTSD SED * STU * SMON * CHLD * SP * VAPN * FPSY ICM PRS CM,"63 Schaefer Street, Brooklyn, NY 11207"
Coalition for Hispanic Family Services,Bonding Links/Enlazos Familiares MHC,315 Wyckoff Avenue,Suite 6,Brooklyn,NY,11237,718-497-6090 x362,718-497-6090 x360,718-497-6090 x361,,,MH SUMH * OP * OMH * CLOZA ILOPE RISPE ZIPRA ANTPYCH * AT CBT GT IPT * PVTN * MHC * CLF MD OSF SF * SS * TRMA PTSD SED * STU * SMON * CHLD * SP * VAPN * FPSY ICM TPC CM,"315 Wyckoff Avenue, Brooklyn, NY 11237"
Community Counseling and Mediation Inc,Youth and Family Consultation Center,25 Elm Place,2nd Floor,Brooklyn,NY,11201,718-802-0666,,,,,SA MH SUMH * OP * OMH * FLUPH HALOP PERPH TRIFL ARIPI OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * MC MD PI SF SI * TAY SE GL VET CJ CO HV TRMA PTSD SMI * STU * HS * TCC * SMOP * CHLD YAD ADLT SNR * SP FX * F17 F19 F36 F43 * VAPP * COOT DEC FPSY SH CM SPS,"25 Elm Place, Brooklyn, NY 11201"
Coney Island Hospital,Department of Behavioral Health,2601 Ocean Parkway,,Brooklyn,NY,11235,718-616-5327,718-616-5321,718-616-5333,,,SA MH SUMH * HI OP * OMH * FLUPH HALOP THIOR ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * STG * CLF MC MD MI OSF PI SF SI SMHA SWFS VAF * SS * TAY SE GL VET CO HV DV TRMA PEFP PTSD SED SMI * STU * MST LABT * HS PEER * TCC * SMOP * CHLD YAD ADLT SNR * AH SP FX * F4 F19 F30 F35 F42 F47 F70 * VPPD * ACT COOT DEC FPSY ICM LAD PRS SEMP VRS CM IPC SPS ES,"2601 Ocean Parkway, Brooklyn, NY 11235"
Family Center,LeeKong Health and Wellness Institute,493 Nostrand Avenue,3rd Floor,Brooklyn,NY,11216,718-230-1379 x110,718-230-1379 x140,,,,SA MH SUMH * OP * CBHC * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * CLF MC MD OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE VET CO HV TRMA PTSD SED SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * COOT FPSY LAD CM IPC,"493 Nostrand Avenue, Brooklyn, NY 11216"
Family Health Center at NYU Langone,Sunset Terrace,514 49Th Street,,Brooklyn,NY,11220,718-431-2600,,,,,SA MH SUMH * OP * OMH * CHLOR DROPE FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * PVTN * FQHC * CLF MC MD PI SF SI * PA SS * CO HV TRMA PEFP PTSD SED SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F17 * VAPN * FPSY PRS CM IPC SPS,"514 49Th Street, Brooklyn, NY 11220"
Health and Hospitals/Kings,Kings City Hosp Child/Adol Clinic,451 Clarkson Avenue,"Building R, 7th Floor",Brooklyn,NY,11203,718-245-2520,,,,,MH SUMH * OP * OMH * HALOP ARIPI CLOZA PALIP RISPE NRT NSC ANTPYCH * AT CBT CFT GT IPT TELE AIM * CIT PEON WI * LCCG * MD PI SF SI SWFS * PA SS * SED * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * CHLD YAD * AH SP FX * F19 * VAPN * AOT COOT FPSY CM SPS,"451 Clarkson Avenue, Brooklyn, NY 11203"
Interborough Developmental and,Consultation Center/Canarsie Csl Ctr,9413 Flatlands Avenue,Suite 001-E,Brooklyn,NY,11236,718-272-1600 x111,,,,,MH SUMH * OP * CMHC * CHLOR DROPE HALOP LOXAP ARIPI CLOZA OLANZ RISPE ANTPYCH * CBT CFT DBT IDD IPT TELE * PEON WI * PVTN * MC MD PI SF SI SMHA SWFS * PA SS * TAY SE GL VET CO TRMA PTSD SED SMI * STU * SMPD * CHLD YAD ADLT SNR * SP FX * F4 F19 F28 F35 F36 F70 * VAPN * COOT FPSY SPS,"9413 Flatlands Avenue, Brooklyn, NY 11236"
Interborough Developmental and,Consultation Ctr/Crown Heights Clinic,921 East New York Avenue,,Brooklyn,NY,11203,718-778-0485,,,,,SA MH SUMH * OP * OMH * CHLOR HALOP THIOR ANTPYCH * CBT CFT DBT GT IDD IPT * CIT PEON WI * PVTN * CLF MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * PA SS * TAY SE GL VET ADM MF CJ CO HV TRMA PED PTSD SED SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F4 F17 F19 F25 F28 F35 F36 F70 * VAPN * COOT DEC FPSY PRS CM SPS,"921 East New York Avenue, Brooklyn, NY 11203"
